SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,PLAYER_NAME,HOME_AWAY,POINTS_THRESHOLD,REBOUNDS_THRESHOLD,BLOCKS_THRESHOLD,ASSISTS_THRESHOLD,ROLLING_PTS_AVG,ROLLING_REB_AVG,ROLLING_AST_AVG
22024,1628975,0022400241,"NOV 17, 2024",CHI vs. HOU,L,14,3,9,0.333,2,6,0.333,0,0,0.0,0,3,3,2,2,0,1,1,8,-8,1,Jevon Carter,Home,0,0,0,0,2.6,0.8,0.8
22024,1628975,0022400198,"NOV 09, 2024",CHI @ ATL,W,9,0,3,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,10,1,Jevon Carter,Away,0,0,0,0,2.2,0.8,0.6
22024,1628975,0022400181,"NOV 07, 2024",CHI vs. MIN,L,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,1,1,Jevon Carter,Home,0,0,0,0,2.2,0.6,0.8
22024,1628975,0022400176,"NOV 06, 2024",CHI @ DAL,L,6,2,2,1.0,1,1,1.0,0,0,0.0,1,1,2,0,0,0,0,0,5,6,1,Jevon Carter,Away,0,0,0,0,2.6,1.0,0.6
22024,1628975,0022400091,"OCT 26, 2024",CHI vs. OKC,L,4,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,1,1,0,0,0,0,1,1,Jevon Carter,Home,0,0,0,0,2.6,1.0,0.8
22024,1642269,0022400476,"JAN 03, 2025",SAC vs. MEM,W,11,0,3,0.0,0,2,0.0,0,0,0.0,0,5,5,2,0,0,0,2,0,-8,1,Devin Carter,Home,0,1,0,0,0.0,0.0,0.0
22024,1628971,0022400470,"JAN 03, 2025",TOR vs. ORL,L,13,0,2,0.0,0,0,0.0,2,2,1.0,0,1,1,1,0,0,0,0,2,-8,1,Bruce Brown,Home,0,0,0,0,0.0,0.0,0.0
22024,1628971,0022400449,"DEC 31, 2024",TOR @ BOS,L,19,2,7,0.286,1,2,0.5,1,2,0.5,1,1,2,1,1,0,0,3,6,-22,1,Bruce Brown,Away,0,0,0,0,0.0,0.0,0.0
22024,1628971,0022400438,"DEC 29, 2024",TOR vs. ATL,L,19,6,12,0.5,0,2,0.0,0,0,0.0,1,2,3,1,1,0,1,1,12,-6,1,Bruce Brown,Home,1,0,0,0,0.0,0.0,0.0
22024,1628976,0022400470,"JAN 03, 2025",ORL @ TOR,W,18,2,7,0.286,0,3,0.0,2,2,1.0,1,8,9,1,1,1,1,2,6,3,1,Wendell Carter Jr.,Away,0,1,1,0,0.0,0.0,0.0
22024,1628976,0022400455,"JAN 01, 2025",ORL @ DET,L,34,7,15,0.467,0,4,0.0,1,2,0.5,2,6,8,1,2,1,1,3,15,-11,1,Wendell Carter Jr.,Away,1,1,1,0,0.0,0.0,0.0
22024,1628976,0022400436,"DEC 29, 2024",ORL vs. BKN,W,27,6,9,0.667,0,1,0.0,1,4,0.25,1,5,6,1,0,0,2,3,13,-2,1,Wendell Carter Jr.,Home,1,1,0,0,0.0,0.0,0.0
22024,1628976,0022400419,"DEC 27, 2024",ORL vs. NYK,L,17,1,6,0.167,0,1,0.0,0,0,0.0,1,2,3,1,0,0,0,2,2,-12,1,Wendell Carter Jr.,Home,0,0,0,0,0.0,0.0,0.0
22024,1628976,0022400411,"DEC 26, 2024",ORL vs. MIA,L,15,1,6,0.167,0,2,0.0,3,4,0.75,0,6,6,1,0,1,1,0,5,-7,1,Wendell Carter Jr.,Home,0,1,1,0,8.2,6.4,1.0
22024,1628976,0022400393,"DEC 23, 2024",ORL vs. BOS,W,27,5,8,0.625,1,1,1.0,0,0,0.0,1,6,7,4,0,2,0,1,11,8,1,Wendell Carter Jr.,Home,1,1,1,1,9.2,6.0,1.6
22024,1628976,0022400377,"DEC 21, 2024",ORL vs. MIA,W,13,2,5,0.4,1,2,0.5,0,0,0.0,0,1,1,1,0,1,0,2,5,-8,1,Wendell Carter Jr.,Home,0,0,1,0,7.2,4.6,1.6
22024,1628976,0022400361,"DEC 19, 2024",ORL vs. OKC,L,30,2,6,0.333,0,2,0.0,6,9,0.667,3,10,13,4,0,1,0,1,10,-1,1,Wendell Carter Jr.,Home,1,1,1,1,6.6,6.0,2.2
22024,1628976,0022401227,"DEC 15, 2024",ORL vs. NYK,L,27,1,4,0.25,0,2,0.0,0,0,0.0,1,4,5,1,1,0,0,2,2,-9,1,Wendell Carter Jr.,Home,0,1,0,0,6.6,6.4,2.2
22024,1628976,0022401201,"DEC 10, 2024",ORL @ MIL,L,34,2,5,0.4,0,2,0.0,4,4,1.0,3,8,11,5,1,1,2,6,8,14,1,Wendell Carter Jr.,Away,0,1,1,1,7.2,7.4,3.0
22024,1628976,0022400352,"DEC 08, 2024",ORL vs. PHX,W,21,2,4,0.5,0,1,0.0,2,2,1.0,1,4,5,0,1,0,1,0,6,13,1,Wendell Carter Jr.,Home,0,1,0,0,6.2,7.0,2.2
22024,1628976,0022400333,"DEC 06, 2024",ORL @ PHI,L,26,2,3,0.667,1,2,0.5,3,4,0.75,1,8,9,3,0,0,0,5,8,14,1,Wendell Carter Jr.,Away,0,1,0,1,6.8,8.6,2.6
22024,1628976,0022400322,"DEC 04, 2024",ORL @ PHI,W,32,1,4,0.25,0,1,0.0,0,2,0.0,3,3,6,2,0,1,0,6,2,-7,1,Wendell Carter Jr.,Away,0,1,1,0,5.2,7.2,2.2
22024,1628976,0022400053,"DEC 03, 2024",ORL @ NYK,L,20,1,3,0.333,0,2,0.0,0,0,0.0,2,5,7,3,1,0,0,2,2,-22,1,Wendell Carter Jr.,Away,0,1,0,1,5.2,7.6,2.6
